,responsibilities(Должностные обязанности),requirements(Требования к соискателю),terms(Условия),notes(Примечания)
443,"ПРИГЛАШАЕМ НА РАБОТУ!  На производство автобусов требуются МАЛЯР ПО МЕТАЛЛУ !  Работа в г. Павлово Нижегородской области!  Требования:  — опыт работы рассматривается минимальный   — иметь базовые навыки по специальности  Обязанности:  — шпаклевка и покраска кузова автобуса  Условия:  — трудоустройство официальное по ТК РФ   — график работы 5/2, смена по 8 часов, сменный   — подработки в выходные с повышенной ставкой!   — иногородним предоставляется проживание   — авансирование еженедельное 3000   — ЗП на карту 2 раза в месяц   — спецодежда","Требования:  — опыт работы рассматривается минимальный   — иметь базовые навыки по специальности  Обязанности:  — шпаклевка и покраска кузова автобуса  Условия:  — трудоустройство официальное по ТК РФ   — график работы 5/2, смена по 8 часов, сменный   — подработки в выходные с повышенной ставкой!   — иногородним предоставляется проживание   — авансирование еженедельное 3000   — ЗП на карту 2 раза в месяц   — спецодежда",,
444,"Вахтовым методом в республику Карелию требуются Машинисты мостового крана!  Мы предлагаем:  ✅Официальное трудоустройство;  ✅Аванс 2000 рублей;  ✅Выплаты 2 раза в месяц на карту любого банка;  ✅Минимальная вахта от 30 смен;  ✅Компенсация проезда;  ✅Проживание на время вахты без вычетов из ЗП;  ✅График работы: 6/1  Обязанности:  📌Перемещение дизельных двигателей  Требования:  ❗Действующее удостоверение машиниста крана  ❗Опыт работы по ТК  ❗От 4 разряда  Действует АКЦИЯ &quot;ПРИВЕДИ ДРУГА И ПОЛУЧИ ПРЕМИЮ&quot;  ⭐Если заинтересовала вакансия, звоните или пишите!⭐",✅График работы: 6/1  Обязанности:  📌Перемещение дизельных двигателей  Требования:  ❗Действующее удостоверение машиниста крана  ❗Опыт работы по ТК  ❗От 4 разряда  Действует АКЦИЯ &quot;ПРИВЕДИ ДРУГА И ПОЛУЧИ ПРЕМИЮ&quot;,✅Аванс 2000 рублей; ✅Выплаты 2 раза в месяц на карту любого банка; ✅Минимальная вахта от 30 смен; ✅Компенсация проезда; ✅Проживание на время вахты без вычетов из ЗП;,
445,"В Челябинскую область вахтовым методом требуются Слесаря-ремонтники!  Мы предлагаем следующие условия труда:  ✅Официальное трудоустройство;  ✅Аванс 2000 рублей;  ✅Выплаты 2 раза в месяц на карту любого банка;  ✅Минимальная вахта от 30 смен;  ✅Компенсация проезда;  ✅Проживание на время вахты без вычетов из ЗП;  ✅График работы: 6/1 – Дневные/ночные смены;  В обязанности входит:  🔧Ремонт токарных, фрезерных, сверлильных и зубонарезных станков;  Требования:  ❗ Опыт работы по ТК  🔥🔥🔥Действует АКЦИЯ &quot;ПРИВЕДИ ДРУГА И ПОЛУЧИ ПРЕМИЮ&quot;🔥🔥🔥  ⭐Если заинтересовала вакансия, звоните или пишите!⭐","Требования:  ❗ Опыт работы по ТК  🔥🔥🔥Действует АКЦИЯ &quot;ПРИВЕДИ ДРУГА И ПОЛУЧИ ПРЕМИЮ&quot;🔥🔥🔥  ⭐Если заинтересовала вакансия, звоните или пишите!⭐",✅Аванс 2000 рублей; ✅Выплаты 2 раза в месяц на карту любого банка; ✅Минимальная вахта от 30 смен; ✅Компенсация проезда; ✅Проживание на время вахты без вычетов из ЗП;,
446,"Условия:   — График работы 6\1 по 11 часов  — Проживание бесплатно в 2х-3х комнатной квартире по 2 человека в комнате — Питание за свой счет — Рабочая одежда выдается после 10 отработанных смен — Проезд компенсируется  Требования:   — Опыт работы — Запись в ТК — Документ о квалификации   Обязанности:   — Испытания и настройка ДВС Сопровождение испытаний ДВс, разработка ПМ . — Запуск и остановка двигателя, его агрегатов и частей. Монтаж стендовых систем питания двигателя по полумонтажным схемам. — Гидравлические испытания смонтированных систем. Вашим персональным менеджером данной вакансии будет - Полина",Монтаж стендовых систем питания двигателя по полумонтажным схемам. — Гидравлические испытания смонтированных систем.,"Условия:   — График работы 6\1 по 11 часов  — Проживание бесплатно в 2х-3х комнатной квартире по 2 человека в комнате — Питание за свой счет — Рабочая одежда выдается после 10 отработанных смен — Проезд компенсируется  Требования:   — Опыт работы — Запись в ТК — Документ о квалификации   Обязанности:   — Испытания и настройка ДВС Сопровождение испытаний ДВс, разработка ПМ .",
447,"Сергиево-Посадский мусороперерабатывающий комплекс приглашает на работу машиниста катка-уплотнителя.  Мы гарантируем:  - Оформление и социальные гарантии строго согласно ТК РФ с первого рабочего дня.  - Официальная заработная плата, выплата осуществляется два раза в месяц (аванс, зарплата) + ежемесячная премия.  - Питание.  - Предоставление спецодежды. - График работы сменный: 1день/1ночь/2 выходных.  - Корпоративный транспорт из  г. Струнино и г. Александров.  Место работы: Московская область, Сергиево-Посадский городской округ, вблизи дер. Сахарово, тер. Комплекс по переработке и размещению ТБО.  Требования: Среднее профессиональное образование. Гражданство РФ.  ОБЯЗАТЕЛЬНО! Наличие удостоверение тракториста-машиниста категории &quot;D&quot; с отметкой на право управления катком-уплотнителем с разрядом не ниже 6.  Опыт управления специализированной техникой не менее 1 года.  Обязанности: Уплотнение оснований и покрытий карты захоронения отходов самоходным катком массой свыше 10 тонн.",Требования: Среднее профессиональное образование. Гражданство РФ.,- Питание. - Предоставление спецодежды. - График работы сменный: 1день/1ночь/2 выходных. - Корпоративный транспорт из  г. Струнино и г. Александров.,
448,"Руки выполняют заказы по бытовому ремонту с 2017 года. Постоянные заказы от клиентов через интернет и от партнеров.  Условия: — мы предоставляем вам доступ к базе заказов на монтаж, ремонт, обслуживание кондиционеров; — возможность работать на полной занятости или в свободное от вашей основной работы время, чтобы зарабатывать дополнительно; — вы можете выбирать заказы, удобные по месту и расписанию; — получаете заказы и отправляете отчет о выполнении в мобильном приложении, тратить время на отчеты в офисе не нужно.  Требования: — опыт работы от года; — необходимый инструмент; — электронная почта, которую вы регулярно просматриваете; — смартфон и опыт использования приложений.","Требования: — опыт работы от года; — необходимый инструмент; — электронная почта, которую вы регулярно просматриваете; — смартфон и опыт использования приложений.","Условия: — мы предоставляем вам доступ к базе заказов на монтаж, ремонт, обслуживание кондиционеров; — возможность работать на полной занятости или в свободное от вашей основной работы время, чтобы зарабатывать дополнительно; — вы можете выбирать заказы, удобные по месту и расписанию; — получаете заказы и отправляете отчет о выполнении в мобильном приложении, тратить время на отчеты в офисе не нужно.",
449,"Строительной организации требуется инженер ПТО (вахтовый метод работы)  Направление работы: Монтаж технологических трубопроводов.  Работа вахтовым методом на предприятиях в Ленинградской или Саратовской области.  Обязанности:  • Своевременное оформление исполнительной документации по пр. видам работ: технологические трубопроводы;  • Заполнение спец. журналов, в том числе журнал сварочных работ;  • Подготовка исполнительной документации для передачи Заказчику.  Требования:  • Умение работать с нормативной документацией в строительстве;  • Знание программ: microsoft word, excel, AutoCAD;  Условия:  • Вахта 2/1;  • Билеты за счет организации;  • Предоставляется проживание;  • Суточные (сверху к заработной плате).",Требования:  • Умение работать с нормативной документацией в строительстве;,• Билеты за счет организации; • Предоставляется проживание; • Суточные (сверху к заработной плате).,
450,"Вакансия открыта в г. Новый Уренгой, Ямало-Ненецкий Автономный Округ. Строительство автомобильных дорог и автомагистралей.  Оплата:  — Зарплата от 151 000 рублей на руки!  Задачи:  — Погрузка, выгрузка материалов, монтаж/демонтаж дорожной плиты. Работа на короткобазовом кране SRC300C, кран KC-5871, кран KC-4361A. — Что мы Вам предлагаем: — Вахта 60/30 (вахту можно продлевать, перевахтовку уменьшать); — График - 7/0 по 10 часов; — Официальное оформление по ТК РФ; — Зарплату перечисляется 2 раза в месяц на карту; — Авансирование каждую неделю; — Компенсация проезда; — Компенсация медкомиссии; — Суточные на питание; — Бесплатное проживание со всеми удобствами в общежитии/вагон-городке; — Полный комплект спецодежды выдаём с первого дня.  Что от вас требуется:  — Стаж, подтвержденный в ТК, от 3х лет; — Удостоверение тракториста-машиниста категории D; — Особая отметка &quot;Машинист экскаватора&quot; или свидетельство об обучении на машиниста экскаватора 6 разряда.",,"— График - 7/0 по 10 часов; — Официальное оформление по ТК РФ; — Зарплату перечисляется 2 раза в месяц на карту; — Авансирование каждую неделю; — Компенсация проезда; — Компенсация медкомиссии; — Суточные на питание; — Бесплатное проживание со всеми удобствами в общежитии/вагон-городке; — Полный комплект спецодежды выдаём с первого дня. Что от вас требуется:  — Стаж, подтвержденный в ТК, от 3х лет; — Удостоверение тракториста-машиниста категории D;",
451,"Прямой работодатель. Вахта 60/30  Проезд, проживание, питание. Требуется Маляр металлоконструкций.   Условия: - Выплаты з/п 2 раза в месяц на карту без задержек  - Мы прямой работодатель и не берем денег за трудоустройство.  - Медкомиссия за счет работодателя  - Бесплатное проживание, заселение в день приезда  - Работа вахтовым методом: 60/30 дней и тд. на ваш выбор.  - Бесплатные обеды  - Официальное трудоустройство, соц. пакет  - Выдача спецодежды;  Обязанности: - Аккуртаная работа  - Работать с многокомпонентной краской  Требования: - Умение работать с многокомпонентной краской  - Минимальный опыт  В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot; , премия 4000 руб  Мы ждем соискателя на должность:  «Маляр с проживанием и питанием» : Код вакансии: B3816359659865 Имя менеджера: Ксения Мы выдаем: Рабочая форма Модель рабочей одежды:л20-КБР",Обязанности: - Аккуртаная работа  - Работать с многокомпонентной краской  Требования: - Умение работать с многокомпонентной краской  - Минимальный опыт  В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;,"- Медкомиссия за счет работодателя  - Бесплатное проживание, заселение в день приезда  - Работа вахтовым методом: 60/30 дней и тд. на ваш выбор.",
452,"ЗП 80 т.р. НАКС 100 т.р.  Прямой работодатель. Проезд, проживание, питание. Вахта 60/30 На Мосты требуется Сварщики.  Условия: - Выплаты на карту без задержек - Возможна подработка на вахте (оплачиваемые переработки) - Работа вахтовым методом: 30/30, 60/30 дней и тд. по желанию - Униформу предоставляем бесплатно - з/п Сварщик 80 000 Руб. НАКС 100 000 Руб. - Проживание в новом общежитии! Проживание НЕ удерживается, все условия для отдыха холодильники, TV, Wi-Fi (больше подробностей узнавайте у менеджера)  - Официальное трудоустройство, соц. пакет - Оплачиваем билет до места работы! - Бесплатные обеды прямо на месте работы!  Обязанности: - Работа с ручной дуговой сваркой и не только ( подробности расскажет мастер) - Работа на основе разработанного плана - Соблюдение режима сварки  Требования: - Опыт работы сварщиком! - Знание работы на полуавтоматах и их настройки - Удостоверение работы сварщиком НАКС будет преимуществом! - Умение работы ручной дуговой сваркой - Разряд 3-4  🟦 НЕ ЖДИ, ЗВОНИ СЕЙЧАС! 🟩  В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10 смен). Можете сообщить знакомым и друзьям, о наборе специалистов в нашу компанию!  Мы ждем соискателя на должность:  «Электрогазосварщик от 4 разряда»: Код вакансии: Q-5293637441 Имя менеджера: Алла Мы выдаем: Робу Модель рабочей одежды: &quot;Молескин&quot;    А так же нужны специалисты: Сварщик,  Электросварщик,  Электрогазосварщик Газосварщик,",- Знание работы на полуавтоматах и их настройки - Удостоверение работы сварщиком НАКС будет преимуществом!,"НАКС 100 000 Руб. - Проживание в новом общежитии! Проживание НЕ удерживается, все условия для отдыха холодильники, TV, Wi-Fi (больше подробностей узнавайте у менеджера)  - Официальное трудоустройство, соц. пакет - Оплачиваем билет до места работы! - Бесплатные обеды прямо на месте работы!","🟩  В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10 смен)."
453,"Проезд, проживание, питание.  Прямой работодатель.Вахта 60/30 На Мосты требуется Сварщики.  Условия: - Выплаты на карту без задержек - Оплачиваем билет до места работы! При предоставлении ЖД билета! - Бесплатные обеды! - Работа вахтовым методом: 60/30 дней и тд. по желанию - Проживание в новом общежитии! Проживание НЕ удерживается, все условия для отдыха TV, Wi-Fi (больше подробностей узнавайте у менеджера)  - Официальное трудоустройство, соц. пакет - Униформу предоставляем бесплатно  Обязанности: - Соблюдение режима сварки - Работа с ручной дуговой сваркой и не только ( подробности расскажет мастер) - Работа на основе разработанного плана  Требования: - Разряд 3-4 - Знание работы на полуавтоматах и их настройки - Опыт работы сварщиком! - Умение работы ручной дуговой сваркой - Удостоверение работы сварщиком НАКС будет преимуществом!  ЗВОНИ СЕЙЧАС! Вакансия СРОЧНАЯ!  В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10 смен). Можете сообщить знакомым и друзьям, о наборе специалистов в нашу компанию!  Мы ждем соискателя на должность:  «Электрогазосварщик от 4 разряда»: Код вакансии: I-8456489848 Имя менеджера: Полина Мы выдаем: Спецодежду Модель рабочей одежды: &quot;Молескин&quot;    Приветствуется опыт работы: Сварщик,  Электрогазосварщик Электросварщик,  Газосварщик,","Проживание НЕ удерживается, все условия для отдыха TV, Wi-Fi (больше подробностей узнавайте у менеджера)  - Официальное трудоустройство, соц. пакет - Униформу предоставляем бесплатно  Обязанности: - Соблюдение режима сварки - Работа с ручной дуговой сваркой и не только ( подробности расскажет мастер) - Работа на основе разработанного плана  Требования: - Разряд 3-4 - Знание работы на полуавтоматах и их настройки - Опыт работы сварщиком! - Умение работы ручной дуговой сваркой - Удостоверение работы сварщиком НАКС будет преимуществом!",При предоставлении ЖД билета! - Бесплатные обеды!,"В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10 смен)."
454,"Требуются выездные мастера по монтажу кондиционеров Ма работаем по Чебоксарам Чувашской республике. Требования:  -Желание работать и зарабатывать хорошие деньги за свой труд - Опыт не обязателен, если вы без опыта в начальном этапе  будете обучаться с опытным мастером -Оборудование предоставим расходный материал тоже. -Желательно что бы у вас было личное Авто -Своевременная отчетность   Условия: -ежедневные выплаты: Стоимость монтажа стандартного кондиционера 2тыс  рублей на одного человека.Команда состоит из 2 человек  -если возникают дополнительные работы  оплачиваются отдельно  -в день  2-3 монтажа   Комплектуем одну полную бригаду из двух человек, на носу лето заявок будет полно и работы тоже  Звоните пишите объясняю все   более подробно","Требования:  -Желание работать и зарабатывать хорошие деньги за свой труд - Опыт не обязателен, если вы без опыта в начальном этапе  будете обучаться с опытным мастером -Оборудование предоставим расходный материал тоже.","-Желательно что бы у вас было личное Авто -Своевременная отчетность   Условия: -ежедневные выплаты: Стоимость монтажа стандартного кондиционера 2тыс  рублей на одного человека.Команда состоит из 2 человек  -если возникают дополнительные работы  оплачиваются отдельно  -в день  2-3 монтажа   Комплектуем одну полную бригаду из двух человек, на носу лето заявок будет полно и работы тоже  Звоните пишите объясняю все   более подробно",
455,"Заводу Спецэнергомодуль в г. Екатеринбург требуется инженер-технолог, мужч./женщ., 21-50 года, гражданство РФ, ЕАЭС, СНГ (со всеми документами и хорошим знанием русского языка).  -Знание программ: Автокад, Компас -образование -электротехническое.(готовы рассмотреть без опыта)  Обязанности входит:  — Разработка РКД на блочно-модульные здания (технологического назначения) — КМД на быстро возводимые здания. — Участие в НИОКР..  График работы: 5/2 с 8:30 до 17:30.  Спецодежда выдается после окончания испытательного срока.  Место работы: Екатеринбург, ул. Монтажников 32А, бесплатный автобус с площади Первой пятилетки (р-н Уралмаш).  Заработная плата выдается 2 раза в месяц, в размере: от 50 000 (зависит от навыков/от умений, финальный уровень дохода зависит от результата собеседования).  Трудоустройство по ТК РФ. На время испытательного срока - срочный договор.",,"График работы: 5/2 с 8:30 до 17:30. Спецодежда выдается после окончания испытательного срока. Место работы: Екатеринбург, ул. Монтажников 32А, бесплатный автобус с площади Первой пятилетки (р-н Уралмаш). Заработная плата выдается 2 раза в месяц, в размере: от 50 000 (зависит от навыков/от умений, финальный уровень дохода зависит от результата собеседования). Трудоустройство по ТК РФ.",
456,"ООО &quot;Управляющая компания &quot;Тополинка&quot; примет на работу Инженера по технической эксплуатации!  Обязанности:  — Организация обслуживания жилого фонда, контроль выполнения заявок на многоквартирных домах, отчетность.   — Составление актов осмотра при затоплении и прочих случаях.   — Сбор и анализ информации.   — Принятие самостоятельных решений  Требования:  — Образование: высшее, техническое.   — Знание технической эксплуатации лифтового оборудования, схем, конструкций, характеристик, особенности эксплуатации оборудования.   — Стаж работы в сфере ЖКХ будет приветствоваться.  Условия:  — Официальное трудоустройство согласно ТК РФ, соц.пакет.   — Полностью белая заработная плата, своевременно, 2 раза в месяц.   — Пятидневная рабочая неделя с понедельника по пятницу с 8:00 до 17:00;   — Рабочее место по адресу: ул. Академика Королева 20","— Знание технической эксплуатации лифтового оборудования, схем, конструкций, характеристик, особенности эксплуатации оборудования. — Стаж работы в сфере ЖКХ будет приветствоваться. Условия:  — Официальное трудоустройство согласно ТК РФ, соц.пакет. — Полностью белая заработная плата, своевременно, 2 раза в месяц. — Пятидневная рабочая неделя с понедельника по пятницу с 8:00 до 17:00; — Рабочее место по адресу: ул. Академика Королева 20",,
457,Описание работодателя:  Компания производит коптильни   Требования: умение работать с деревом на циркулярной пиле . Умение работать с инструментом .  Условия:работа с 9 до 18.  выполнения поставленых задач,Умение работать с инструментом . Условия:работа с 9 до 18.  выполнения поставленых задач,,
458,"В связи с расширением бизнеса открыта вакансия Арматурщика.  Мы находимся: Московская область, г. Котельники, 2-й Покровский пр-д., д. 3 Работа Вахтой в МО с проживанием  Опыт работы от 3 лет Крупнейший сервисный центр коммерческого транспорта, по ремонту и обслуживанию грузового и коммерческого транспорта марок : ХИНО , ИВЕКО , ДЭУ , ФОТОН , ИСУЗУ . Приглашаем Арматурщика грузового транспорта  Обязанности: - Разборка/сборка навесных деталей кузова - Разборка/сборка деталей салона - Знание конструкции автомобилей - Съём и установка кузова - Разборка перед покраской - Работы со Стапелем - Сборка/Разборка автомобиля.  Требования: - Умение работать в команде - Аккуратность, ответственность, исполнительность, пунктуальность - Желание работать и зарабатывать  Условия: Отдельное, индивидуальное оборудованное рабочее место, график работы по результатам собеседования, зарплата без задержек.Официальное трудоустройство. Пятидневная рабочая неделя. _ уровень дохода зависит от квалификации специалиста и обсуждается по результатам собеседования. _ средний уровень зарплаты наших сотрудников от 90 000-150 000, и зависит от квалификации , выработки по нормо-часам и графика работы - (Если вы знаете свою работу и работаете быстро и качественно то зарплата будет начинаться от 100 000) _ кандидаты с минимальным опытом работы и желанием обучаться рассматриваются на позицию стажер с перспективой присвоением разряда в рамках Компании. - заработная плата &quot;белая&quot; выплачивается вовремя два раза в месяц _ график работы  2/2,3/3,4/4,5/2, Вахта , ... с 9-00 до 20-00 - Можно вахтой 30х30: 30х15 30х10 - Испытательный срок - месяц _ оформление по ТК РФ _ соц. пакет _ оплачиваемые отпуска и больничные _ обеспечиваем спецодеждой - Для вахтовиков предоставляем жилье только по Паспорту РФ _ два современных корпуса рем зоны на огороженной территории , чистые , светлые , отапливаемые цеха _ гарантия наличия большого фронта работы ( Компания на рынке с 2006 года ) _ самая современная инструментальная база _ в каждом корпусе рем зоны помещения с раздевалкой ( предоставляем два металлических шкафа под ключ ) , душевыми кабинами , комнатой приёма пищи . Приглашаем Вас стать частью нашей большой и сплочённой команды! Мы ценим каждого сотрудника и создаём условия для комфортной работы.  Для отклика на вакансию и дальнейшую запись на собеседование по сообщению с 10 до 20.  Возможно вы искали:  авто арматурщик, бетонщик авматурщик, арматурщик вахта, арматурщик в грузовой автосервис, арматурщик авто,","_ средний уровень зарплаты наших сотрудников от 90 000-150 000, и зависит от квалификации , выработки по нормо-часам и графика работы - (Если вы знаете свою работу и работаете быстро и качественно то зарплата будет начинаться от 100 000) _ кандидаты с минимальным опытом работы и желанием обучаться рассматриваются на позицию стажер с перспективой присвоением разряда в рамках Компании. - заработная плата &quot;белая&quot; выплачивается вовремя два раза в месяц _ график работы  2/2,3/3,4/4,5/2, Вахта , ... с 9-00 до 20-00 - Можно вахтой 30х30: 30х15 30х10 - Испытательный срок - месяц _ оформление по ТК РФ _ соц. пакет _ оплачиваемые отпуска и больничные _ обеспечиваем спецодеждой - Для вахтовиков предоставляем жилье только по Паспорту РФ _ два современных корпуса рем зоны на огороженной территории , чистые , светлые , отапливаемые цеха _ гарантия наличия большого фронта работы ( Компания на рынке с 2006 года ) _ самая современная инструментальная база _ в каждом корпусе рем зоны помещения с раздевалкой ( предоставляем два металлических шкафа под ключ ) , душевыми кабинами , комнатой приёма пищи .",Пятидневная рабочая неделя. _ уровень дохода зависит от квалификации специалиста и обсуждается по результатам собеседования.,
459,"Описание работодателя:строительство дома Требования:выполнение поставлин задач Обязанности:подготовка, вязка арматуры, Апалубка, прием Битона Условия:проживание вагон гарадок. з. п. два раза в месяц. готовка еды сами, подтоварка мая. куб от-3000. т. р. город сургут.","Описание работодателя:строительство дома Требования:выполнение поставлин задач Обязанности:подготовка, вязка арматуры, Апалубка, прием Битона Условия:проживание вагон гарадок. з. п. два раза в месяц. готовка еды сами, подтоварка мая. куб от-3000. т. р. город сургут.",,
460,"На вахтовый метод работы в г. Сызрань требуются бетонщики!  В основные обязанности входит:   -Установка ростверков: заготовка арматуры и вязка армокаркаса, установка опалубки, бетонирование.  бетонные работы с армированием  Условия:  - Официальное трудоустройство согласно ТК РФ  - Заработная плата 2 раза в месяц на карту  - Проживание в квартирах  - Суточные  Требования:  - Опыт работы ","В основные обязанности входит:   -Установка ростверков: заготовка арматуры и вязка армокаркаса, установка опалубки, бетонирование.  бетонные работы с армированием  Условия:  - Официальное трудоустройство согласно ТК РФ  - Заработная плата 2 раза в месяц на карту  - Проживание в квартирах  - Суточные  Требования:  - Опыт работы",,
461,"Производственная компания Р-ПАК входит в ТОП-5 крупных компаний России по производству полиэтиленовых пакетов в поиске нового сотрудника на должность Инженер ПТО  Условия:  — Оформление по ТК, стабильные выплаты заработной платы 2 раза в месяц  — ЗП 70000 руб. на руки  — Работа 5\2 09:00-18:00  — Работа в активной и динамически развивающейся отрасли  — Доброжелательный и отзывчивый коллектив  — Предоставляем жилье или довезем до работы  — Место работы: производство в МО, г.о. Домодедово, д.Повадино (транспорт от ст. Барыбино, с.Вильяминово, с.Талалихино и др.)  Обязанности:  — Сбор полного комплекта документов для регистрации новых/уже существующих объектов строительства  — Проверка проектной документации и результатов инженерных изысканий  — Проверка соответствия. Объемов строительно-монтажных работ, а также конструкций  — Проверка сметной документации на строительство объектов, расчет стоимости, учет выполненных работ  — Осуществляет строительный контроль и техническую приемку законченных строительно-монтажных работ и объектов, оформление необходимую техническую документацию  — Ведение учета законченных строительно-монтажных работ и подготовка необходимых данных для составления отчетности о выполнении планов капитального строительства  — Подготовка и сдача отчетности за пользование ресурсами и недрами  Требования:  — Релевантный опыт от 1 года  — Образование высшее профильное, предпочтительно ПГС  Заинтересовала вакансия? Звоните по указанному номеру телефона  Приветствуются кандидаты с опытом работы на должности: инженер ПТО, инженер сметчик, инженер, технолог","Звоните по указанному номеру телефона  Приветствуются кандидаты с опытом работы на должности: инженер ПТО, инженер сметчик, инженер, технолог","Производственная компания Р-ПАК входит в ТОП-5 крупных компаний России по производству полиэтиленовых пакетов в поиске нового сотрудника на должность Инженер ПТО  Условия:  — Оформление по ТК, стабильные выплаты заработной платы 2 раза в месяц  — ЗП 70000 руб. на руки  — Работа 5\2 09:00-18:00  — Работа в активной и динамически развивающейся отрасли  — Доброжелательный и отзывчивый коллектив  — Предоставляем жилье или довезем до работы  — Место работы: производство в МО, г.о. Домодедово, д.Повадино (транспорт от ст. Барыбино, с.Вильяминово, с.Талалихино и др.)",
